Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation
1,39,1,9991,0,1,100.0,1,37,19,9,2
2,18,2,8014,0,1,140.0,1,37,37,9,10
2,18,2,9238,1,1,140.0,1,37,37,9,10
2,39,1,9003,1,1,120.0,1,37,19,9,4
1,17,2,9853,1,1,138.0,1,1,1,9,4
4,39,1,8014,0,19,133.1,1,34,34,0,0
1,17,2,9853,1,1,118.0,1,37,37,9,9
1,1,6,9500,1,1,135.0,1,37,1,5,5
1,17,1,9130,1,1,130.0,1,3,19,2,9
1,15,1,9238,1,1,150.0,26,3,37,2,8
1,18,3,9085,1,1,149.0,103,1,1,9,9
1,1,1,9556,1,1,180.0,103,5,3,1,1
1,43,1,9119,1,1,133.1,1,1,1,9,3
1,39,1,9119,1,19,133.1,1,19,19,5,3
1,39,1,171,1,1,145.0,1,3,1,2,10
1,39,1,9147,1,1,110.0,1,37,37,9,9
1,1,1,9130,1,1,154.0,1,3,3,2,2
1,17,1,9147,1,1,126.0,1,37,37,4,7
1,17,1,9670,1,1,133.0,1,19,37,9,8
1,1,2,9500,1,1,145.0,1,4,2,2,3
1,44,1,9070,1,39,120.0,1,1,19,4,7
1,44,1,171,1,39,150.0,1,4,4,2,2
1,43,1,9991,0,1,150.0,1,3,3,4,4
1,39,1,9119,1,1,150.0,1,3,3,4,4
1,17,1,9254,1,1,127.0,1,3,19,4,4
1,44,1,9003,1,39,140.0,1,19,38,3,9
1,18,3,9773,1,1,128.0,1,19,1,9,9
1,39,1,9500,1,1,127.0,1,19,19,5,5
1,1,1,9147,1,1,117.0,1,19,19,5,7
1,44,1,9003,1,39,150.0,1,1,19,4,10
1,1,1,9500,1,1,154.0,1,1,1,5,3
1,17,2,9119,1,1,127.0,1,19,1,9,10
1,1,2,9147,1,1,133.0,1,19,1,5,10
1,39,1,9119,1,40,120.0,1,1,1,5,10
1,1,1,9670,1,1,133.1,1,38,19,5,6
1,1,1,9500,1,1,149.0,1,37,37,9,9
1,17,2,9147,1,1,125.0,1,19,38,9,7
1,1,5,9119,1,1,126.0,1,12,19,4,5
1,39,1,9773,1,19,133.1,1,19,1,7,9
1,43,1,9070,1,1,115.0,1,12,12,1,10
1,17,3,9119,1,1,117.0,1,1,2,3,2
1,17,2,9147,1,1,133.1,1,1,1,4,4
1,44,1,9003,1,39,150.0,1,3,2,2,2
1,17,1,9147,1,1,130.0,1,19,1,7,4
1,1,1,171,1,1,161.0,1,37,37,9,9
1,44,1,9254,1,39,130.0,1,39,39,194,193
1,42,1,9500,1,1,111.0,1,1,3,9,10
1,53,1,9003,1,42,140.0,1,3,38,141,151
1,1,1,9130,1,1,132.0,1,1,1,3,3
1,39,1,9991,0,1,139.0,1,1,1,4,10
1,1,1,9130,1,1,132.0,1,19,38,9,9
1,1,6,9070,1,6,119.0,1,1,1,9,9
1,39,1,9670,1,1,133.1,1,19,19,3,9
1,39,1,9003,1,19,133.1,1,4,1,2,4
1,17,4,9119,1,1,129.0,1,34,36,0,5
1,17,1,9085,1,1,128.0,1,38,19,8,8
1,39,1,9003,1,1,120.0,1,3,4,2,2
1,1,1,8014,0,1,130.0,1,1,1,9,9
1,1,1,9147,1,1,130.0,1,38,37,9,9
1,17,6,9119,1,1,111.0,1,19,3,5,10
1,1,6,9147,1,1,121.0,1,3,19,4,5
1,43,4,171,1,1,117.0,1,19,12,9,10
2,39,1,9085,1,9,133.1,1,1,1,4,4
1,1,2,9500,1,1,149.0,1,3,1,9,9
1,39,2,9991,0,1,172.0,1,19,37,9,8
2,1,1,9238,1,1,134.0,1,37,37,5,5
1,1,4,9070,1,1,136.0,1,37,37,9,8
1,39,1,8014,0,1,133.1,1,34,5,0,1
1,17,5,9500,1,1,141.0,1,12,1,5,5
1,17,1,9670,1,1,141.0,1,1,19,8,7
1,1,1,9147,1,1,148.0,1,37,38,9,8
1,17,1,9254,1,1,102.0,1,37,37,7,7
1,1,1,9147,1,1,143.0,1,1,19,3,3
1,17,1,9085,1,1,120.0,1,38,19,90,90
1,17,1,9773,1,1,121.0,1,38,38,9,8
1,1,3,9254,1,1,122.0,1,37,37,9,3
1,1,4,9556,1,1,122.0,1,37,1,5,4
1,1,2,9670,1,1,123.0,1,19,1,9,3
1,1,1,9500,1,1,133.0,1,3,19,2,8
1,44,1,9670,1,39,110.0,1,37,1,9,4
1,17,1,9670,1,1,155.0,1,1,19,4,8
1,17,1,9003,1,1,119.0,1,37,37,4,6
1,39,1,9991,0,3,120.0,1,37,37,9,9
1,17,1,9853,1,1,133.1,1,38,12,7,0
4,39,1,9853,1,1,143.0,1,37,1,9,10
1,17,1,9670,1,1,149.0,1,19,37,7,4
1,17,1,9003,1,1,133.0,1,38,37,9,9
1,7,1,9130,1,3,140.0,1,19,38,9,9
1,17,5,9070,1,1,122.0,1,19,38,5,7
1,7,1,9500,1,40,170.0,1,1,1,9,4
1,39,1,8014,0,1,120.0,1,1,1,4,4
1,1,1,9500,1,1,143.0,1,1,37,3,8
1,1,3,171,1,1,115.0,1,9,1,6,6
1,17,1,9130,1,1,123.0,1,19,3,3,2
1,1,6,9500,1,1,131.0,1,38,19,7,7
1,17,1,9085,1,1,127.0,1,19,38,194,193
1,43,3,9500,1,1,126.0,1,38,37,6,5
1,1,2,9853,1,1,112.0,1,37,37,191,182
2,1,1,8014,0,1,150.0,1,1,37,4,7
1,1,1,9070,1,1,116.0,1,1,1,1,1
1,17,3,9147,1,1,118.0,1,1,19,5,7
1,1,1,9500,1,1,130.0,1,19,37,9,9
1,1,6,9500,1,1,144.0,1,1,37,9,9
1,17,2,9238,1,3,105.0,1,37,37,7,8
1,17,1,9500,1,1,143.0,1,37,37,9,8
1,17,2,9500,1,1,137.0,1,19,37,4,7
1,44,1,9085,1,39,140.0,1,3,1,2,3
1,1,1,9773,1,1,133.1,1,3,19,4,5
1,17,2,9147,1,1,116.0,1,1,38,4,3
1,17,5,9853,1,1,117.0,1,38,38,9,7
1,17,1,9500,1,1,137.0,1,38,37,7,5
1,17,4,9070,1,1,116.0,1,38,37,9,9
1,1,1,9853,1,1,133.1,1,19,19,9,8
1,44,1,8014,0,39,130.0,1,37,38,6,6
1,1,3,9500,1,1,106.0,1,19,37,9,7
1,17,2,9773,1,1,125.0,1,1,38,5,6
1,1,1,9773,1,1,134.0,1,19,37,9,9
1,39,1,9500,1,1,133.1,1,19,37,9,9
1,1,2,9853,1,1,117.0,1,1,38,4,9
1,1,1,9500,1,1,136.0,1,1,19,5,7
1,39,1,9556,1,1,120.0,1,38,38,191,193
1,1,1,9670,1,1,135.0,1,37,37,9,7
1,17,5,9238,1,1,122.0,1,37,37,7,5
1,1,5,9500,1,1,147.0,1,37,37,9,9
1,39,1,9991,0,1,120.0,1,38,1,9,4
1,17,3,9238,1,1,121.0,1,1,1,4,5
1,18,1,9773,1,1,135.0,1,1,1,3,3
2,39,1,9670,1,1,130.0,1,37,37,9,0
1,1,6,9147,1,1,128.0,1,37,37,9,9
1,1,1,9147,1,1,129.0,1,37,38,4,9
1,1,3,9500,1,1,143.0,1,37,38,7,7
1,1,2,9773,1,1,108.0,1,38,38,7,7
1,1,1,9147,1,1,130.0,1,19,37,9,9
1,1,1,9238,1,1,135.0,1,37,1,3,5
2,39,1,9991,0,3,140.0,1,19,19,9,7
1,43,2,9556,1,1,120.0,1,1,19,4,3
1,1,1,9670,1,1,117.0,1,1,38,5,1
1,17,1,9238,1,1,151.0,1,19,1,5,0
1,53,1,9085,1,42,140.0,1,1,1,5,5
1,39,1,9500,1,19,133.1,1,1,5,4,3
1,44,1,9238,1,39,130.0,1,38,38,6,9
1,1,1,9773,1,1,125.0,1,19,38,3,5
1,1,4,9238,1,1,125.0,1,19,38,9,6
1,1,1,9238,1,1,135.0,1,37,19,5,10
1,51,1,8014,0,1,121.0,1,1,38,5,7
1,43,1,9070,1,1,141.0,1,1,19,5,10
1,39,1,9003,1,1,130.0,1,19,19,9,9
1,44,1,9003,1,39,180.0,1,1,3,4,2
1,1,1,9500,1,1,117.0,1,19,19,194,193
1,17,4,9773,1,1,127.0,1,1,19,4,1
1,1,3,9670,1,1,126.0,1,37,37,0,0
1,17,3,9500,1,1,143.0,1,3,3,9,7
1,1,1,9085,1,1,144.0,13,3,3,6,6
1,17,2,9773,1,1,126.0,1,37,38,5,5
1,51,1,9238,1,39,140.0,1,38,38,5,7
1,17,5,9500,1,1,148.0,1,1,19,4,8
1,42,1,9500,1,1,100.0,1,19,37,5,7
1,1,1,9238,1,1,151.0,1,37,1,9,9
1,42,1,8014,0,1,120.0,1,37,38,90,7
1,1,4,9500,1,1,135.0,1,1,19,9,7
1,1,2,9070,1,1,121.0,1,19,19,3,3
1,1,1,9254,1,1,116.0,1,38,38,5,8
1,17,1,9853,1,1,147.0,1,37,37,9,9
1,17,4,9070,1,1,160.0,1,1,19,5,7
1,1,1,9853,1,1,133.0,1,37,19,7,7
2,39,1,9773,1,19,100.0,1,37,37,0,0
1,1,1,171,1,1,151.0,41,3,3,2,5
1,17,2,9254,1,1,124.0,41,19,38,9,9
1,44,1,9238,1,39,140.0,41,1,1,4,6
1,18,4,9085,1,1,170.0,1,1,1,4,5
4,39,1,9238,1,19,133.1,1,37,37,9,10
4,39,1,9003,1,19,133.1,1,37,37,9,9
2,43,1,9991,0,1,100.0,1,37,37,9,9
1,39,1,9085,1,39,120.0,1,37,37,1,9
1,17,3,9500,1,1,133.0,1,38,19,9,8
3,39,1,9991,0,1,120.0,1,37,1,9,2
4,39,2,9147,1,19,133.1,1,37,37,9,7
4,39,1,9130,1,19,133.1,1,37,38,9,4
2,43,1,9003,1,1,133.1,1,37,37,9,7
1,1,1,9254,1,1,140.0,1,19,19,9,3
1,39,1,33,1,1,100.0,41,38,37,9,8
2,39,1,9130,1,19,133.1,1,2,1,2,9
1,1,1,9147,1,1,143.0,1,3,1,5,5
2,1,1,8014,0,1,165.0,1,37,37,0,0
1,1,1,9254,1,1,154.0,1,3,1,2,1
1,44,1,9003,1,39,140.0,1,1,38,9,1
1,43,1,9119,1,1,140.0,1,37,38,5,7
1,44,1,9085,1,39,130.0,1,2,2,6,6
2,39,1,9147,1,19,133.1,1,37,19,9,3
1,7,1,9556,1,4,190.0,1,5,5,2,2
2,39,1,9991,0,1,120.0,1,37,37,9,9
1,39,1,9238,1,12,100.0,1,37,37,9,9
5,39,1,9991,0,1,120.0,1,37,37,9,9
2,39,1,8014,0,1,133.1,1,19,1,4,8
2,39,1,9003,1,1,150.0,1,37,37,9,6
2,39,1,9254,1,1,120.0,1,1,19,9,9
1,39,1,8014,0,1,133.1,1,37,11,9,7
2,39,1,9991,0,19,133.1,1,38,38,90,90
1,39,1,9119,1,1,100.0,1,37,37,9,8
2,39,1,9085,1,1,133.1,1,37,37,90,90
1,1,1,9500,1,1,143.0,1,3,3,2,2
2,39,1,9085,1,1,120.0,1,37,37,6,6
1,43,1,8014,0,1,161.0,1,19,37,4,10
1,39,1,9130,1,9,133.1,1,34,36,0,90
4,39,1,9670,1,1,140.0,1,2,1,3,9
2,42,1,9991,0,6,123.0,1,37,37,9,9
1,43,1,9670,1,1,142.0,1,38,1,8,10
1,43,1,33,1,19,133.1,1,38,38,4,4
1,1,1,9254,1,1,115.0,1,19,1,3,7
1,1,1,171,1,1,156.0,1,19,38,9,5
1,39,1,8014,0,1,140.0,1,37,37,90,5
1,7,3,9130,1,3,130.0,1,37,26,90,10
4,7,1,9500,1,3,140.0,1,37,38,9,7
1,51,1,9670,1,1,140.0,1,12,5,3,3
1,39,1,9991,0,1,133.1,1,37,37,9,9
1,1,2,171,1,1,131.0,41,19,1,4,7
1,43,1,9670,1,1,141.0,1,3,2,2,2
1,1,1,9773,1,1,120.0,1,19,37,9,9
1,44,1,9003,1,39,140.0,1,2,1,4,6
1,1,1,9254,1,1,132.0,1,1,19,6,6
2,39,2,9147,1,1,130.0,1,19,37,4,7
4,39,1,9130,1,1,140.0,1,37,37,6,7
1,17,2,9670,1,1,110.0,1,3,3,4,10
1,43,1,9773,1,1,140.0,1,3,37,3,7
1,17,2,9254,1,1,130.0,1,37,37,5,7
1,1,1,171,1,1,137.0,1,1,3,3,7
1,51,1,9773,1,1,158.0,1,1,19,8,8
1,1,1,9070,1,1,124.0,1,19,19,9,7
1,1,1,9254,1,1,136.0,1,3,3,2,2
1,17,3,9500,1,1,142.0,1,3,3,3,3
1,39,1,9991,0,1,150.0,1,1,19,4,8
1,39,1,9773,1,12,120.0,1,1,1,9,9
2,43,1,9003,1,1,149.0,1,1,1,4,5
1,51,1,9003,1,39,130.0,1,1,19,4,4
1,43,1,9085,1,1,110.0,25,38,38,9,6
1,39,1,9670,1,6,133.1,1,1,1,90,3
1,1,2,9500,1,1,134.0,1,1,1,5,3
1,1,2,9670,1,1,130.0,1,38,37,5,5
1,1,1,9070,1,1,141.0,1,37,37,9,9
1,42,1,9500,1,1,123.0,1,37,37,3,3
2,39,1,9991,0,19,133.1,1,19,37,7,9
1,1,3,9070,1,1,122.0,1,37,37,9,9
1,1,4,171,1,1,132.0,1,1,19,4,5
1,15,1,9670,1,1,133.1,41,1,1,9,5
1,43,1,9991,0,1,130.0,1,37,2,9,4
1,1,1,9254,1,1,111.0,1,1,1,3,3
2,43,2,9147,1,1,133.1,1,37,37,9,9
1,17,1,9003,1,1,125.0,1,3,3,2,2
1,5,1,171,1,1,137.0,1,3,19,1,10
2,43,3,8014,0,19,100.0,1,37,37,9,9
1,15,1,9147,1,1,133.1,21,1,3,192,3
2,44,1,8014,0,39,150.0,1,1,1,5,5
1,1,4,9147,1,1,120.0,1,38,38,5,10
1,44,1,9130,1,39,150.0,1,1,1,4,4
1,7,1,9991,0,40,133.1,1,1,37,4,1
2,39,1,8014,0,1,133.1,1,37,37,9,7
1,17,5,9670,1,1,132.0,1,19,19,5,5
1,1,1,9085,1,1,134.0,1,1,1,9,9
1,17,6,9773,1,1,126.0,1,1,19,5,5
1,1,3,9500,1,1,136.0,1,1,19,4,9
1,1,2,9238,1,1,129.0,1,38,1,4,10
1,1,1,9085,1,1,126.0,1,3,1,2,8
1,44,1,9085,1,39,140.0,1,1,1,4,7
1,43,1,9085,1,1,162.0,1,2,1,4,4
1,1,1,171,1,1,148.0,1,3,2,4,2
1,17,1,9853,1,1,119.0,1,3,3,132,132
1,17,3,9773,1,1,123.0,1,1,19,5,5
1,17,1,9773,1,1,150.0,1,38,38,7,7
1,17,1,9670,1,1,113.0,1,1,1,5,4
1,1,1,9500,1,1,152.0,1,19,37,3,8
1,1,3,9500,1,1,154.0,1,3,3,1,3
1,1,2,9773,1,1,130.0,1,1,34,9,9
1,1,1,9238,1,1,121.0,1,1,1,1,1
1,1,1,9070,1,1,153.0,1,3,3,1,2
1,1,1,9500,1,1,148.0,1,3,1,4,5
1,5,3,9085,1,1,143.0,1,37,37,0,90
1,17,3,171,1,1,147.0,1,19,1,5,4
1,17,1,9773,1,1,138.0,1,1,19,9,9
1,39,1,9500,1,1,120.0,1,3,3,2,2
1,17,1,9238,1,1,145.0,1,1,40,9,2
1,17,3,9238,1,1,118.0,1,3,1,2,5
1,1,3,9773,1,1,121.0,1,19,19,3,3
1,1,3,9773,1,1,135.0,1,38,38,5,8
1,44,1,9070,1,1,140.0,1,1,1,9,8
1,18,3,9500,1,1,145.0,1,1,1,4,8
1,1,1,9130,1,1,133.0,1,1,37,9,9
1,1,1,9853,1,1,127.0,1,3,1,3,7
1,53,1,9070,1,42,130.0,1,40,19,3,5
1,1,2,9238,1,1,117.0,1,19,1,9,8
1,17,4,9147,1,1,125.0,1,19,19,5,5
1,1,1,9773,1,1,141.0,1,38,38,9,9
1,1,3,9853,1,1,122.0,1,1,3,5,3
1,17,2,9147,1,1,118.0,1,19,1,9,3
1,17,3,9070,1,1,142.0,1,1,38,3,5
1,1,1,9130,1,1,143.0,1,3,3,2,10
1,1,4,9773,1,1,143.0,1,1,3,4,7
1,1,5,9070,1,1,123.0,1,3,1,9,3
1,1,1,9238,1,1,115.0,1,1,1,9,4
1,17,2,9853,1,1,112.0,1,19,38,5,7
1,17,1,9500,1,1,135.0,1,19,38,9,9
1,1,1,9500,1,1,162.0,1,3,4,3,3
1,1,1,9853,1,1,143.0,1,19,3,4,4
1,51,1,9147,1,1,130.0,1,1,1,4,4
1,17,1,9070,1,1,136.0,1,1,37,4,5
1,16,1,9070,1,1,125.0,1,1,1,4,4
1,17,2,9500,1,1,132.0,1,19,37,3,5
1,1,1,8014,0,1,123.0,1,34,37,9,90
1,1,1,9147,1,1,142.0,1,19,19,9,9
1,1,3,171,1,1,147.0,1,12,19,9,3
1,1,1,9085,1,1,140.0,6,1,19,4,7
1,1,2,9238,1,1,133.1,1,19,19,9,9
1,18,4,9773,1,1,114.0,1,1,1,9,9
1,17,3,9670,1,1,125.0,1,1,3,4,3
1,17,1,9853,1,1,127.0,1,1,1,5,7
1,1,3,9070,1,1,132.0,1,1,3,9,7
1,1,4,9500,1,1,148.0,1,19,19,4,5
1,43,1,9670,1,1,139.0,1,3,19,3,5
1,17,1,9254,1,1,136.0,1,39,3,3,3
1,39,1,9238,1,9,133.1,1,34,34,0,0
1,43,1,9130,1,1,120.0,6,1,3,9,2
2,39,1,9130,1,1,130.0,1,37,37,9,6
2,39,1,9119,1,1,110.0,1,37,37,90,5
1,1,3,9119,1,1,133.0,1,3,1,3,4
1,17,3,9119,1,1,138.0,1,3,3,3,4
1,51,1,9556,1,1,131.0,1,1,37,152,193
1,44,1,9130,1,39,150.0,1,3,1,2,8
1,1,1,9147,1,1,125.0,1,38,1,3,10
1,1,1,9147,1,1,108.0,41,3,3,9,9
1,17,1,9147,1,1,116.0,1,3,1,3,4
1,39,1,9130,1,1,133.1,1,3,34,3,0
1,1,3,9500,1,1,147.0,1,37,38,9,5
1,1,1,9238,1,1,143.0,1,38,34,9,9
1,1,1,171,1,1,115.0,1,37,37,9,8
2,39,1,9991,0,1,160.0,1,1,1,194,131
1,17,1,9147,1,1,118.0,1,19,19,9,9
1,1,1,9085,1,1,122.0,1,1,1,2,5
1,17,6,9500,1,1,143.0,1,1,19,4,4
1,1,6,9500,1,1,133.0,1,3,3,1,1
1,5,2,9853,1,1,122.0,1,19,19,4,5
1,1,1,9238,1,1,164.0,1,19,19,9,9
2,39,1,9500,1,1,133.1,1,1,19,9,9
1,17,4,9119,1,1,127.0,1,19,19,5,5
1,1,3,9773,1,1,140.0,1,1,39,4,1
1,1,1,9238,1,1,127.0,1,1,19,4,3
1,39,1,9003,1,12,133.1,1,37,1,9,10
1,5,4,9119,1,1,115.0,1,19,37,4,6
1,1,1,9773,1,1,108.0,1,34,38,0,3
1,18,2,9119,1,1,136.0,1,1,2,5,4
1,39,2,9147,1,12,133.1,1,19,38,9,9
1,44,1,9070,1,39,120.0,1,1,19,5,8
1,39,1,9670,1,1,133.1,1,38,19,9,8
1,44,1,9085,1,39,160.0,1,1,1,5,4
1,1,4,9500,1,1,128.0,1,1,1,4,10
1,39,1,9119,1,3,130.0,1,1,38,90,90
1,39,1,9119,1,19,133.1,1,37,38,3,7
1,18,1,9254,1,1,137.0,1,19,19,4,5
1,1,1,171,1,1,163.0,1,19,1,9,7
1,1,1,9254,1,1,125.0,1,1,1,191,193
2,39,1,9119,1,1,120.0,1,34,34,0,0
1,42,1,9991,0,1,150.0,1,19,19,5,5
1,1,1,9556,1,1,135.0,1,1,1,1,1
1,1,1,9003,1,1,148.0,1,1,19,194,194
1,1,1,9500,1,1,138.0,1,38,38,9,9
1,17,1,9070,1,1,119.0,1,38,19,9,9
1,39,2,9556,1,1,130.0,1,19,19,4,5
1,1,2,9670,1,1,135.0,1,19,19,7,10
1,44,1,9070,1,39,120.0,1,19,1,9,3
1,17,2,9070,1,1,126.0,1,38,38,9,8
1,1,1,171,1,1,149.0,1,3,2,2,5
1,39,1,9003,1,1,110.0,1,19,37,9,6
1,39,1,9003,1,1,133.1,1,37,37,4,7
1,16,2,9500,1,1,127.0,1,2,38,4,9
1,42,1,9773,1,6,120.0,1,34,34,0,0
1,16,6,9773,1,1,136.0,1,38,14,0,0
1,43,2,9238,1,1,110.0,1,37,37,9,7
1,1,1,9500,1,1,136.0,1,19,19,4,7
1,1,3,9773,1,1,145.0,1,38,38,9,5
1,1,2,9773,1,1,159.0,1,1,19,9,9
1,39,1,171,1,1,147.0,1,37,38,175,193
1,43,1,9500,1,1,150.0,1,37,37,9,9
1,7,1,8014,0,3,140.0,1,37,12,9,4
1,42,1,9085,1,39,150.0,1,1,1,4,7
2,44,1,9991,0,39,130.0,1,1,37,4,9
1,17,1,9773,1,1,120.0,1,37,37,5,5
1,43,1,9070,1,39,130.0,1,19,37,5,9
1,1,1,9254,1,1,112.0,1,38,19,9,5
1,17,1,9670,1,1,128.0,1,19,19,7,7
1,17,1,9147,1,1,114.0,1,19,19,9,7
1,43,2,9238,1,1,118.0,1,38,38,5,5
1,7,1,9500,1,3,130.0,1,37,38,7,7
1,1,2,9500,1,1,145.0,1,37,1,9,4
1,1,2,9147,1,1,121.0,1,19,19,9,9
1,1,3,9500,1,1,114.0,1,1,1,5,5
1,1,4,9670,1,1,127.0,1,1,1,7,7
1,17,2,9238,1,1,145.0,1,19,38,7,6
1,17,5,9238,1,1,130.0,1,19,1,5,5
1,1,1,171,1,1,150.0,1,38,19,7,10
1,1,1,9853,1,1,145.0,1,37,37,9,5
1,1,1,9085,1,1,128.0,1,19,1,5,4
2,39,1,9991,0,1,140.0,1,37,37,9,9
4,39,1,8014,0,1,130.0,1,37,37,9,7
1,39,1,9500,1,1,140.0,1,37,37,9,6
1,15,1,9773,1,1,120.0,26,19,19,4,5
2,39,1,9991,0,1,147.0,1,34,34,90,90
2,39,1,8014,0,9,133.1,1,37,37,8,10
2,44,1,9003,1,39,160.0,1,37,38,9,4
6,39,1,8014,0,1,133.1,1,37,1,9,7
4,39,1,8014,0,19,140.0,1,37,37,9,3
1,39,1,8014,0,1,133.1,1,37,37,9,9
1,17,6,9238,1,1,131.0,1,1,3,4,2
1,39,1,9500,1,19,133.1,1,37,37,9,6
4,39,1,9991,0,1,120.0,1,37,37,9,9
1,39,1,9500,1,1,130.0,1,37,37,9,7
1,7,1,9085,1,3,140.0,1,19,20,4,90
2,39,1,8014,0,1,133.1,1,37,37,6,8
1,39,1,9085,1,1,140.0,1,37,19,191,163
1,1,1,9238,1,1,133.1,1,19,37,0,0
1,1,5,9147,1,1,125.0,1,37,38,7,7
1,1,1,9853,1,1,115.0,1,19,38,9,9
2,7,1,9670,1,3,110.0,1,37,37,7,7
2,39,1,9147,1,1,140.0,1,37,37,9,9
1,39,1,9500,1,1,100.0,1,3,1,2,5
1,1,3,171,1,1,145.0,1,1,1,3,3
1,39,1,9500,1,19,133.1,1,38,38,9,9
1,44,1,9991,0,39,150.0,1,37,37,6,6
1,1,1,9773,1,1,145.0,1,19,38,4,10
4,39,1,8014,0,19,133.1,1,37,37,90,7
1,1,3,9773,1,1,110.0,1,19,19,5,5
1,1,1,9238,1,1,128.0,1,37,19,9,4
2,39,1,9238,1,19,133.1,1,37,37,9,9
1,7,1,9085,1,3,130.0,1,1,19,9,10
1,16,1,9556,1,1,137.0,1,37,37,9,7
1,17,2,9254,1,1,123.0,1,37,37,7,7
1,1,1,9147,1,1,156.0,1,3,19,3,3
1,17,2,9773,1,1,133.1,1,3,5,0,2
2,43,1,9670,1,1,100.0,1,34,34,0,0
1,39,1,9147,1,1,140.0,1,37,3,9,2
1,39,1,9991,0,1,130.0,1,37,37,9,9
2,39,1,9991,0,1,133.1,1,37,37,9,9
1,44,1,9003,1,39,140.0,1,1,19,4,8
1,18,5,9500,1,1,137.0,1,19,1,1,10
1,42,1,9119,1,1,120.0,1,3,1,2,9
1,17,4,9670,1,1,125.0,1,1,1,4,90
1,17,1,9773,1,1,130.0,1,19,37,9,9
1,1,3,9773,1,1,115.0,1,38,1,9,4
1,1,1,9147,1,1,150.0,1,1,19,5,5
1,1,3,9670,1,1,134.0,1,14,11,0,0
1,39,1,9670,1,1,120.0,1,34,34,0,0
1,43,1,9147,1,1,141.0,1,37,37,9,9
1,1,1,9130,1,1,133.0,1,3,1,2,4
1,1,2,9119,1,1,149.0,1,38,38,5,5
1,1,1,9773,1,1,121.0,1,1,3,3,7
1,44,1,9003,1,39,120.0,1,4,1,2,8
2,39,1,9991,0,1,148.0,1,19,37,9,5
1,39,1,9003,1,12,133.1,1,37,19,9,10
2,39,1,9991,0,1,135.0,1,34,34,0,0
1,39,1,9119,1,1,150.0,1,1,38,3,5
1,43,1,9670,1,1,130.0,1,34,34,0,0
4,42,1,9147,1,1,133.1,1,37,38,7,3
2,39,2,9119,1,19,133.1,1,37,37,7,7
2,43,1,9853,1,1,110.0,1,37,37,7,7
2,39,1,9991,0,1,170.0,1,37,19,9,3
1,17,3,9119,1,1,120.0,1,1,19,9,3
1,39,1,9500,1,19,133.1,1,38,38,9,8
2,1,1,9085,1,1,139.0,1,19,19,192,144
1,39,1,9991,0,19,133.1,1,19,37,7,5
1,18,1,9003,1,1,133.1,1,1,38,9,6
1,42,1,9119,1,6,120.0,1,35,35,6,6
2,39,1,9991,0,1,100.0,1,19,19,4,4
1,1,1,9773,1,1,134.0,1,1,38,4,5
2,39,1,9991,0,1,130.0,1,38,38,9,3
1,1,1,9147,1,1,128.0,1,1,1,2,10
1,1,1,9500,1,1,154.0,1,19,19,3,3
1,7,1,9003,1,4,150.0,1,1,1,4,6
1,17,1,9070,1,1,134.0,1,1,1,5,0
1,1,1,9238,1,1,127.0,1,2,2,3,4
1,17,2,9085,1,1,133.1,1,19,38,9,1
1,17,1,9500,1,1,130.0,1,1,3,9,2
1,1,1,9130,1,1,135.0,1,3,3,2,2
1,1,1,9773,1,1,143.0,1,1,3,3,3
1,44,2,9238,1,39,150.0,1,3,19,4,9
2,7,1,9238,1,3,150.0,1,37,37,191,192
1,39,1,8014,0,1,130.0,1,37,37,9,8
1,1,3,9500,1,1,113.0,1,3,1,134,135
1,44,1,9085,1,39,130.0,6,19,1,6,4
1,17,1,9254,1,1,115.0,1,1,19,3,3
1,1,3,9070,1,1,146.0,1,34,34,0,0
1,17,3,9070,1,1,132.0,1,38,1,5,5
1,1,5,9670,1,1,116.0,1,19,38,9,9
1,1,1,171,1,1,163.0,1,3,4,2,5
1,17,2,9147,1,1,122.0,1,19,19,7,7
1,17,2,9238,1,1,136.0,1,1,3,3,4
1,17,1,9085,1,1,142.0,1,3,19,5,5
1,17,6,9500,1,1,139.0,1,37,37,9,6
1,53,1,9238,1,42,140.0,1,37,37,9,10
1,1,1,9500,1,1,165.0,1,19,37,5,5
1,17,3,9670,1,1,122.0,1,1,38,3,3
1,1,2,9500,1,1,135.0,1,19,19,9,10
1,17,1,9500,1,1,128.0,1,19,1,4,3
1,17,1,9147,1,1,139.0,1,1,38,4,5
1,1,2,9773,1,1,125.0,1,19,1,4,5
1,18,2,9147,1,1,102.0,1,37,38,191,143
1,17,1,9254,1,1,116.0,1,19,19,9,8
1,17,1,9147,1,1,138.0,1,37,1,9,9
1,51,1,9070,1,1,135.0,1,3,1,3,5
1,17,4,9670,1,1,110.0,1,19,37,9,99
1,17,3,9773,1,1,132.0,1,1,1,4,9
1,1,2,9500,1,1,126.0,1,1,38,4,7
1,44,1,9147,1,39,117.4,1,19,1,4,9
1,43,2,9500,1,1,120.0,1,41,3,2,2
1,17,1,9070,1,1,116.0,1,38,38,9,9
1,18,2,9853,1,1,111.0,1,38,38,191,171
1,17,3,9085,1,1,128.0,1,1,19,4,90
1,1,1,9085,1,1,123.0,1,30,19,4,90
1,1,5,9254,1,1,131.0,1,19,37,9,9
1,17,2,9500,1,1,135.0,1,19,19,9,4
